NetConn_2:
SingleSynapticConnection:0:17:0.23236084:2:38:0.70885825:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.054894, weight: 1.0]
SingleSynapticConnection:61:5:0.73986053:2:36:0.72689575:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 7.5091543, weight: 1.0]
SingleSynapticConnection:62:19:0.90390474:2:38:0.38756582:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.591551, weight: 1.0]
SingleSynapticConnection:63:21:0.10511322:1:32:0.2413069:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 6.421831, weight: 1.0]
SingleSynapticConnection:64:11:0.940963:1:31:0.13121285:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 9.272476, weight: 1.0]
SingleSynapticConnection:65:3:0.5578785:3:17:0.24122176:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 7.4844375, weight: 1.0]
SingleSynapticConnection:69:2:0.44779158:2:38:0.347184:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.733471, weight: 1.0]
SingleSynapticConnection:70:21:0.28204957:2:38:0.2494144:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.382261, weight: 1.0]
SingleSynapticConnection:73:23:0.38961488:1:26:0.7681492:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 5.8100376, weight: 1.0]
SingleSynapticConnection:77:19:0.5433472:1:32:0.35146415:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 9.852691, weight: 1.0]
SingleSynapticConnection:79:7:0.29032058:1:33:0.5058972:0: ConnSpecificProps [synapseType: GranPurkSyn, internalDelay: 8.374965, weight: 1.0]
NetConn_1:
SingleSynapticConnection:1:0:0.5911859:0:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.528273, weight: 1.0]
SingleSynapticConnection:7:0:0.57432264:0:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.176527, weight: 1.0]
SingleSynapticConnection:3:0:0.5657101:0:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.4714265, weight: 1.0]
SingleSynapticConnection:5:0:0.6515064:0:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.393578, weight: 1.0]
SingleSynapticConnection:6:0:0.9428787:1:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.7742157, weight: 1.0]
SingleSynapticConnection:9:0:0.28569186:1:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.1264944, weight: 1.0]
SingleSynapticConnection:8:0:0.91442233:1:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.3603663, weight: 1.0]
SingleSynapticConnection:2:0:0.1954267:1:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.453133, weight: 1.0]
SingleSynapticConnection:10:0:0.8718001:2:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.360741, weight: 1.0]
SingleSynapticConnection:2:0:0.6225917:2:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.070747, weight: 1.0]
SingleSynapticConnection:4:0:0.69169533:2:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.772711, weight: 1.0]
SingleSynapticConnection:5:0:0.070602834:3:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.833548, weight: 1.0]
SingleSynapticConnection:7:0:0.76288545:3:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.635098, weight: 1.0]
SingleSynapticConnection:3:0:0.28488588:3:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.672318, weight: 1.0]
SingleSynapticConnection:6:0:0.6106851:4:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.298961, weight: 1.0]
SingleSynapticConnection:7:0:0.39418572:4:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.8112946, weight: 1.0]
SingleSynapticConnection:9:0:0.46918565:4:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.937382, weight: 1.0]
SingleSynapticConnection:8:0:0.0124153495:4:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.845093, weight: 1.0]
SingleSynapticConnection:5:0:0.076340795:4:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.748957, weight: 1.0]
SingleSynapticConnection:5:0:0.9139751:5:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.986571, weight: 1.0]
SingleSynapticConnection:3:0:0.73220944:5:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.3567224, weight: 1.0]
SingleSynapticConnection:0:0:0.4295298:5:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.3187556, weight: 1.0]
SingleSynapticConnection:7:0:0.80827135:5:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.2111754, weight: 1.0]
SingleSynapticConnection:10:0:0.752129:5:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.993851, weight: 1.0]
SingleSynapticConnection:0:0:0.87690246:6:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.9651318, weight: 1.0]
SingleSynapticConnection:7:0:0.5850087:6:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.234716, weight: 1.0]
SingleSynapticConnection:5:0:0.068039715:6:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.565669, weight: 1.0]
SingleSynapticConnection:11:0:0.14516616:6:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.0568333, weight: 1.0]
SingleSynapticConnection:10:0:0.20287693:6:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.50559, weight: 1.0]
SingleSynapticConnection:0:0:0.5372228:7:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.1080565, weight: 1.0]
SingleSynapticConnection:7:0:0.5573985:7:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.5466223, weight: 1.0]
SingleSynapticConnection:5:0:0.7763326:7:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.278927, weight: 1.0]
SingleSynapticConnection:6:0:0.9313363:7:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.6095395, weight: 1.0]
SingleSynapticConnection:11:0:0.7227051:8:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.6438813, weight: 1.0]
SingleSynapticConnection:6:0:0.82281685:8:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.388618, weight: 1.0]
SingleSynapticConnection:7:0:0.9748061:8:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.8881903, weight: 1.0]
SingleSynapticConnection:9:0:0.31862473:8:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.35298, weight: 1.0]
SingleSynapticConnection:3:0:0.10639095:9:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.059172, weight: 1.0]
SingleSynapticConnection:7:0:0.053853452:9:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.934656, weight: 1.0]
SingleSynapticConnection:5:0:0.51104534:9:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.500279, weight: 1.0]
SingleSynapticConnection:3:0:0.54424554:10:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.40837, weight: 1.0]
SingleSynapticConnection:1:0:0.91969705:10:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.1860065, weight: 1.0]
SingleSynapticConnection:5:0:0.71474314:10:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.110487, weight: 1.0]
SingleSynapticConnection:10:0:0.6626872:10:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.114384, weight: 1.0]
SingleSynapticConnection:7:0:0.95207924:11:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.5509973, weight: 1.0]
SingleSynapticConnection:0:0:0.7032783:11:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.972624, weight: 1.0]
SingleSynapticConnection:11:0:0.81920904:11:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.096052, weight: 1.0]
SingleSynapticConnection:5:0:0.9347989:11:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.2689266, weight: 1.0]
SingleSynapticConnection:10:0:0.57504284:12:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.052017, weight: 1.0]
SingleSynapticConnection:2:0:0.7515094:12:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.180922, weight: 1.0]
SingleSynapticConnection:8:0:0.5652132:12:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.6044655, weight: 1.0]
SingleSynapticConnection:4:0:0.36978728:12:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.117816, weight: 1.0]
SingleSynapticConnection:6:0:0.021896899:13:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.1777496, weight: 1.0]
SingleSynapticConnection:8:0:0.48463035:13:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.1979294, weight: 1.0]
SingleSynapticConnection:11:0:0.5206786:13:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.7733, weight: 1.0]
SingleSynapticConnection:5:0:0.055946946:14:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.8001575, weight: 1.0]
SingleSynapticConnection:3:0:0.4646359:14:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.838949, weight: 1.0]
SingleSynapticConnection:1:0:0.6788522:14:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.919117, weight: 1.0]
SingleSynapticConnection:7:0:0.63325685:14:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.5326414, weight: 1.0]
SingleSynapticConnection:5:0:0.23228037:15:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.712963, weight: 1.0]
SingleSynapticConnection:0:0:0.6928155:15:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.7915406, weight: 1.0]
SingleSynapticConnection:3:0:0.22026062:15:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.619419, weight: 1.0]
SingleSynapticConnection:7:0:0.34343737:15:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.4370966, weight: 1.0]
SingleSynapticConnection:4:0:0.402228:16:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.928899, weight: 1.0]
SingleSynapticConnection:10:0:0.78166264:16:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.597805, weight: 1.0]
SingleSynapticConnection:5:0:0.018392384:16:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.4079757, weight: 1.0]
SingleSynapticConnection:2:0:0.49405497:16:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.7826204, weight: 1.0]
SingleSynapticConnection:3:0:0.15666342:17:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.3623867, weight: 1.0]
SingleSynapticConnection:1:0:0.8695638:17:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.434301, weight: 1.0]
SingleSynapticConnection:5:0:0.19301605:17:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.099676, weight: 1.0]
SingleSynapticConnection:10:0:0.62185943:17:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.8331604, weight: 1.0]
SingleSynapticConnection:3:0:0.9115181:18:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.801086, weight: 1.0]
SingleSynapticConnection:5:0:0.35480177:18:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.600979, weight: 1.0]
SingleSynapticConnection:7:0:0.5387563:18:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.8695297, weight: 1.0]
SingleSynapticConnection:8:0:0.36774164:18:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.42998, weight: 1.0]
SingleSynapticConnection:5:0:0.38745636:19:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.610084, weight: 1.0]
SingleSynapticConnection:7:0:0.81986266:19:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.909409, weight: 1.0]
SingleSynapticConnection:3:0:0.83790606:19:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.232061, weight: 1.0]
SingleSynapticConnection:0:0:0.3416854:19:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.939649, weight: 1.0]
SingleSynapticConnection:2:0:0.062023163:20:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.6313167, weight: 1.0]
SingleSynapticConnection:5:0:0.022315025:20:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.1684813, weight: 1.0]
SingleSynapticConnection:3:0:0.9232754:20:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.030567, weight: 1.0]
SingleSynapticConnection:4:0:0.3312983:20:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.399621, weight: 1.0]
SingleSynapticConnection:4:0:0.28451353:21:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.6348557, weight: 1.0]
SingleSynapticConnection:8:0:0.75948596:21:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.934327, weight: 1.0]
SingleSynapticConnection:2:0:0.58458054:21:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.452874, weight: 1.0]
SingleSynapticConnection:10:0:0.6207899:21:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.795997, weight: 1.0]
SingleSynapticConnection:5:0:0.6842804:22:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.157749, weight: 1.0]
SingleSynapticConnection:3:0:0.40181404:22:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.160096, weight: 1.0]
SingleSynapticConnection:0:0:0.5892662:22:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.160711, weight: 1.0]
SingleSynapticConnection:7:0:0.6449736:22:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.3206453, weight: 1.0]
SingleSynapticConnection:11:0:0.014841378:23:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.97642, weight: 1.0]
SingleSynapticConnection:6:0:0.56373495:23:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.036623, weight: 1.0]
SingleSynapticConnection:0:0:0.35579133:23:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.417004, weight: 1.0]
SingleSynapticConnection:10:0:0.1742174:24:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.3913765, weight: 1.0]
SingleSynapticConnection:3:0:0.3043971:24:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.701854, weight: 1.0]
SingleSynapticConnection:1:0:0.8035582:24:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.675245, weight: 1.0]
SingleSynapticConnection:4:0:0.2890898:24:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.40559, weight: 1.0]
SingleSynapticConnection:3:0:0.44073498:25:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.679507, weight: 1.0]
SingleSynapticConnection:1:0:0.32886624:25:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.096053, weight: 1.0]
SingleSynapticConnection:10:0:0.38680553:25:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.718153, weight: 1.0]
SingleSynapticConnection:5:0:0.89505404:25:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.694617, weight: 1.0]
SingleSynapticConnection:1:0:0.4038924:26:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.196291, weight: 1.0]
SingleSynapticConnection:3:0:0.85196626:26:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.018658, weight: 1.0]
SingleSynapticConnection:0:0:0.28951854:26:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.737449, weight: 1.0]
SingleSynapticConnection:10:0:0.08786297:26:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.3835516, weight: 1.0]
SingleSynapticConnection:4:0:0.03568995:27:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.601243, weight: 1.0]
SingleSynapticConnection:8:0:0.42915714:27:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.935761, weight: 1.0]
SingleSynapticConnection:2:0:0.06328887:27:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.5599246, weight: 1.0]
SingleSynapticConnection:10:0:0.53005594:27:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.328133, weight: 1.0]
SingleSynapticConnection:10:0:0.8854945:28:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.713999, weight: 1.0]
SingleSynapticConnection:4:0:0.7552834:28:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.9207115, weight: 1.0]
SingleSynapticConnection:7:0:0.35564584:28:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.149493, weight: 1.0]
SingleSynapticConnection:1:0:0.43407506:28:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.959549, weight: 1.0]
SingleSynapticConnection:1:0:0.46113855:29:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.3426247, weight: 1.0]
SingleSynapticConnection:3:0:0.84726286:29:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.350718, weight: 1.0]
SingleSynapticConnection:4:0:0.9812824:29:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.4158773, weight: 1.0]
SingleSynapticConnection:10:0:0.85999846:29:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.298844, weight: 1.0]
SingleSynapticConnection:3:0:0.4037068:30:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.1504774, weight: 1.0]
SingleSynapticConnection:10:0:0.4057685:30:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.5493546, weight: 1.0]
SingleSynapticConnection:2:0:0.9285716:30:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.6160746, weight: 1.0]
SingleSynapticConnection:4:0:0.44122255:30:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.555183, weight: 1.0]
SingleSynapticConnection:4:0:0.5341946:31:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.1383486, weight: 1.0]
SingleSynapticConnection:10:0:0.5070275:31:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.8268805, weight: 1.0]
SingleSynapticConnection:8:0:0.23361117:31:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.817199, weight: 1.0]
SingleSynapticConnection:5:0:0.563035:31:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.788954, weight: 1.0]
SingleSynapticConnection:2:0:0.20990533:31:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.189137, weight: 1.0]
SingleSynapticConnection:5:0:0.39220172:32:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.0487905, weight: 1.0]
SingleSynapticConnection:1:0:0.84861827:32:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.118021, weight: 1.0]
SingleSynapticConnection:3:0:0.39422762:32:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.599874, weight: 1.0]
SingleSynapticConnection:7:0:0.5978399:32:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.167415, weight: 1.0]
SingleSynapticConnection:10:0:0.47905147:32:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.016694, weight: 1.0]
SingleSynapticConnection:3:0:0.11336124:33:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.5678997, weight: 1.0]
SingleSynapticConnection:7:0:0.66946465:33:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.4795876, weight: 1.0]
SingleSynapticConnection:5:0:0.43829793:33:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.269843, weight: 1.0]
SingleSynapticConnection:0:0:0.62128973:33:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.3057833, weight: 1.0]
SingleSynapticConnection:7:0:0.33633524:34:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.503746, weight: 1.0]
SingleSynapticConnection:0:0:0.13856757:34:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.174957, weight: 1.0]
SingleSynapticConnection:6:0:0.8422486:34:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 7.6369214, weight: 1.0]
SingleSynapticConnection:3:0:0.9137162:35:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.371208, weight: 1.0]
SingleSynapticConnection:1:0:0.77665174:35:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.6278143, weight: 1.0]
SingleSynapticConnection:5:0:0.033054948:35:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.393552, weight: 1.0]
SingleSynapticConnection:10:0:0.5502969:35:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.3650446, weight: 1.0]
SingleSynapticConnection:6:0:0.5000139:36:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 6.48213, weight: 1.0]
SingleSynapticConnection:11:0:0.6872551:36:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 8.489058, weight: 1.0]
SingleSynapticConnection:0:0:0.2839778:36:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.771028, weight: 1.0]
SingleSynapticConnection:9:0:0.11553943:36:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 9.255484, weight: 1.0]
SingleSynapticConnection:5:0:0.12521791:37:0:0.5:0: ConnSpecificProps [synapseType: MFGranSyn, internalDelay: 5.0136266, weight: 1.0]
